iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
GBR,2020,22842.457302684285
GEO,2020,222.15377600150396
GGY,2020,0.1007280407530382
GHA,2020,136599.4770551558
GIN,2020,178406.6324398319
GLP,2020,51.923302835296234
GMB,2020,9.892571436206598
GNB,2020,17107.802848950196
GNQ,2020,4870.416282028738
GRC,2020,5427.35619974866
GRD,2020,18.437002192979055
GTM,2020,98556.32770037152
GUF,2020,4289.376692496577
GUY,2020,15769.9793978561
HKG,2020,72.53734313118277
HND,2020,93648.71909049922
HRV,2020,6051.886034562703
HTI,2020,3802.056739111456
HUN,2020,12013.566203978791
IDN,2020,961587.943140165
IMN,2020,7.129409033233508
IND,2020,137715.5413806828
IRL,2020,6206.876041186951
IRN,2020,20.19200928916016
ISR,2020,46.46654973852539
ITA,2020,28246.48629847476
JAM,2020,2169.745702180758
JEY,2020,0.1519160605685764
JOR,2020,0.1957948364453125
JPN,2020,48057.78631595111
KAZ,2020,1853.2676791752076
KEN,2020,19044.834370066765
KGZ,2020,11.89814012151042
KHM,2020,143487.81091304196
KNA,2020,10.149934874456383
KOR,2020,20123.319729475377
LAO,2020,357546.687762664
LBN,2020,473.08464572179366
LBR,2020,220121.36618194185
LBY,2020,0.7809010561621094
LCA,2020,40.73259010682671
LIE,2020,3.2144972638476563
LKA,2020,11216.449417225818
LSO,2020,16.065056095144318
LTU,2020,22970.483873094327
LUX,2020,654.6687526375931
LVA,2020,50462.783828106694
MAC,2020,0.8568552946994359
MAF,2020,1.6111001409971788
MAR,2020,3620.7796543920176
MDA,2020,1413.6311733448936
MDG,2020,241112.07861872547
MEX,2020,299526.2895909649
MKD,2020,1856.0801146459487
MLI,2020,148.84741201595267
MMR,2020,310005.30740475765
MNE,2020,983.1838559866702
MNG,2020,464.6175161363496
MOZ,2020,232509.07048768297
MRT,2020,0.0
MSR,2020,2.2125426395355903
MTQ,2020,65.09517640956979
MWI,2020,16067.716569048524
MYS,2020,268721.4917352333
MYT,2020,166.788490639751
NAM,2020,1.4609834445844183
NCL,2020,4065.975496248957
NGA,2020,99199.51538891146
NIC,2020,111303.31279444844
NLD,2020,1921.856834326272
NOR,2020,68362.91362995247
NPL,2020,2232.811563511528
NZL,2020,60924.51433122912
PAK,2020,69.20160856297746
PAN,2020,27314.294959158877
PER,2020,278656.68030099786
PHL,2020,63727.597060107415
PLW,2020,16.254376583442383
PNG,2020,78439.73384573724
POL,2020,74958.89001430915
PRI,2020,680.7800016639376
PRK,2020,14775.532248048512
PRT,2020,62044.38836630668
PRY,2020,243379.14794353695
PSE,2020,0.2613848605381944
ROU,2020,27445.57389021103
RUS,2020,5442086.35024786
RWA,2020,3187.3171008675386
SDN,2020,66.80291179048831
SEN,2020,758.4581610040675
SGP,2020,165.20300355552445
SLB,2020,14598.977259940057
SLE,2020,154640.5160687572
SLV,2020,2208.2752416278636
SOM,2020,154.51877993220296
SPM,2020,0.7429691638433158
SRB,2020,4987.05585211132
SSD,2020,2326.226763573321
SUR,2020,15096.006540842762
SVK,2020,11947.178874957026
SVN,2020,3889.4175930889455
SWE,2020,339968.2296241121
SWZ,2020,2684.0911361435287
SYR,2020,3037.670360481399
TCA,2020,34.4126137536697
TCD,2020,3433.489615853736
TGO,2020,5506.80026101198
THA,2020,119414.18620691977
TJK,2020,0.4276713535351563
TLS,2020,1458.8681836896878
TTO,2020,859.9870256758155
TUN,2020,1062.164916015003
TUR,2020,45348.58479523354
TWN,2020,1461.4996545177896
TZA,2020,186212.53169466436
UGA,2020,73603.22694610558
UKR,2020,79461.17693313921
URY,2020,12682.121207215288
USA,2020,1966716.3749185023
UZB,2020,3.181950549954427
VCT,2020,7.119596357421334
VEN,2020,139301.8390054571
VGB,2020,0.0730888703472222
VIR,2020,14.005827806465929
VNM,2020,207640.59177030087
VUT,2020,3935.0341078482215
XAD,2020,0.5720593217881945
XCA,2020,0.1644274613975694
XKO,2020,970.7898047258328
XNC,2020,6.185125571024305
ZAF,2020,62247.30063131986
ZMB,2020,163028.4377908704
ZWE,2020,6224.919002003599
AFG,2021,26.48246160191734
AGO,2021,298294.0696450904
AIA,2021,1.6827816964409723
ALA,2021,1355.4043675730168
ALB,2021,1685.6772356892632
AND,2021,2.2247129773806424
ARG,2021,201881.84105082488
ARM,2021,4.964722321920573
ATG,2021,39.158925210360245
AUS,2021,261043.55347213044
AUT,2021,16651.641552676934
AZE,2021,85.22633726126303
BDI,2021,2272.251753279853
BEL,2021,9142.899488178287
BEN,2021,1704.9511176151225
BES,2021,0.225687472039388
BFA,2021,0.0
BGD,2021,17587.280231247005
BGR,2021,6683.899225262673
BHS,2021,1548.8128948358153
BIH,2021,1018.7407834851776
BLR,2021,63478.97779745741
BLZ,2021,9289.64558834837
BOL,2021,558393.1162655704
BRA,2021,2991909.305950562
BRB,2021,17.238792695109595
BRN,2021,953.1606580016368
BTN,2021,1278.5758932363447
BWA,2021,1.4247808028776043
CAF,2021,67180.61472331868
CAN,2021,2524986.4914715015
CHE,2021,3455.912140181973
CHL,2021,71610.47119418073
CHN,2021,536655.745896402
CIV,2021,183248.39867355485
CMR,2021,168797.79974126606
COD,2021,1247857.4699334607
COG,2021,58192.691379383694
COL,2021,265167.7356581792
COM,2021,164.5376841143463
CRI,2021,7847.994494054424
CUB,2021,9720.83331947196
CUW,2021,4.063811761504991
CYM,2021,10.105221264544271
CYP,2021,642.8700344223779
CZE,2021,56292.53564444026
DEU,2021,202277.81779273736
DMA,2021,30.35926319274468
DNK,2021,4795.048927643729
DOM,2021,14182.1962057881
DZA,2021,20472.892620484366
ECU,2021,30273.220974761374
EGY,2021,17.81208130640408
ERI,2021,0.0
ESP,2021,85791.95758110215
EST,2021,34004.02270922029
ETH,2021,19751.438277588994
FIN,2021,266899.12619095406
FJI,2021,7198.833279840638
FRA,2021,112886.03476979009
GAB,2021,18317.629630640386
GBR,2021,26215.795338670083
GEO,2021,420.26244584919493
GGY,2021,0.5541306900347222
GHA,2021,101378.95468906626
GIN,2021,167376.74593969327
GLP,2021,67.73279766907389
GMB,2021,19.03735950195854
GNB,2021,13684.854118475916
GNQ,2021,8905.680921056235
GRC,2021,49038.5192080328
GRD,2021,15.954712257536352
GTM,2021,49896.23234698507
GUF,2021,2205.032998246865
GUY,2021,9536.996538513347
HKG,2021,58.37474950198347
HND,2021,69497.94967541099
HRV,2021,5264.327175911644
HTI,2021,2413.744532876757
HUN,2021,13752.899198139728
IDN,2021,841391.3909846384
IMN,2021,13.982237923209638
IND,2021,132747.58574099743
IRL,2021,8779.724237015678
IRN,2021,20.998456522460945
ISR,2021,28.61547411162544
ITA,2021,28263.995843053508
JAM,2021,1485.247239656355
JEY,2021,1.6203609401171875
JPN,2021,48455.78434750044
KAZ,2021,718.4090624070013
KEN,2021,7564.226606595743
KGZ,2021,17.535345973652344
KHM,2021,144246.3399037853
KNA,2021,9.416269063625217
KOR,2021,17343.511613454473
LAO,2021,317575.3886834191
LBN,2021,672.6176720868083
LBR,2021,129838.01080608986
LBY,2021,0.519608961248915
LCA,2021,34.60395206810438
LIE,2021,0.6322705608398438
LKA,2021,13295.782357459337
LSO,2021,16.91761747763889
LTU,2021,22633.62646668197
LUX,2021,1054.579088468836
LVA,2021,48422.10576937977
MAF,2021,2.1235823210525173
MAR,2021,1538.4621175180407
MDA,2021,1131.309421613012
MDG,2021,234879.89400163677
MEX,2021,189079.41914535628
MKD,2021,2304.283069036994
MLI,2021,130.30924230515132
MMR,2021,304151.74589417025
MNE,2021,507.7594136255274
MNG,2021,186.6896925788346
MOZ,2021,278039.3501620224
MRT,2021,0.0
MSR,2021,2.507342791551649
MTQ,2021,43.55235253291612
MWI,2021,16564.31077866071
MYS,2021,277553.73267606954
MYT,2021,63.72506181654569
NAM,2021,4.372500486815321
NCL,2021,656.2899233771204
NER,2021,0.0
NGA,2021,97193.04938927731
NIC,2021,91850.90685556794
NLD,2021,2456.673268245564
NOR,2021,63937.43260355628
NPL,2021,2752.51013305627
NZL,2021,66242.98621384938
PAK,2021,63.182731482822255
PAN,2021,24390.43732371524
PER,2021,225203.94411172383
PHL,2021,48882.82363354203
PLW,2021,3.280796891109755
PNG,2021,76613.32149021469
POL,2021,77568.08842322195
PRI,2021,690.9724484504394
PRK,2021,13742.553457701331
PRT,2021,37223.92353317916
PRY,2021,277165.38429032895
ROU,2021,14699.441095117332
RUS,2021,6518851.583361313
RWA,2021,2922.131627324489
SDN,2021,50.32012086562556
SEN,2021,176.62630635852284
SGP,2021,200.9646094100659
SLB,2021,11999.644312684297
SLE,2021,113032.5736874954
SLV,2021,1488.7058388566172
SOM,2021,169.1360007624618
SRB,2021,4072.238842628751
SSD,2021,2812.0028408829157
SUR,2021,12262.027270132552
SVK,2021,6097.650247552321
SVN,2021,2232.826410921173
SWE,2021,333156.95654143306
SWZ,2021,3160.017833339039
SXM,2021,0.0732518155143229
SYC,2021,0.151835789008789
SYR,2021,2856.1150676344887
TCA,2021,43.21771063945853
TCD,2021,5095.147735339833
TGO,2021,5897.96423071061
THA,2021,122815.81153643856
TJK,2021,0.0
TLS,2021,1430.726610867748
TTO,2021,315.77582185779346
TUN,2021,2079.124414225032
TUR,2021,79284.22953476998
TWN,2021,1463.1930640401863
TZA,2021,165076.8303450739
UGA,2021,49244.9906995042
UKR,2021,66593.03264978789
URY,2021,16999.256774411635
USA,2021,2044298.91834886
UZB,2021,3.5057399456467007
VCT,2021,13.0372539660791
VEN,2021,64423.759789405995
VGB,2021,4.092813938301866
VIR,2021,19.277175695695522
VNM,2021,193074.06740109532
VUT,2021,57.749478516197925
XAD,2021,0.8266335693554688
XCA,2021,0.3239588774826389
XKO,2021,520.1185162982484
XNC,2021,2.711850674468316
ZAF,2021,52067.375092260074
ZMB,2021,201456.61033546372
ZWE,2021,9054.487214979523
AFG,2022,5.872542179110242
AGO,2022,266942.2367238344
AIA,2022,0.2194971956738281
ALA,2022,1166.3544188559547
ALB,2022,2095.4842700663453
AND,2022,15.22693649104601
ARG,2022,232223.66291948024
ARM,2022,8.46307184608507
ATG,2022,37.31956432351454
AUS,2022,118987.43487408588
AUT,2022,19865.062230405576
AZE,2022,146.17824737043188
BDI,2022,1609.96687256175
BEL,2022,4833.58905360579
BEN,2022,1673.9073489425652
BFA,2022,0.0
BGD,2022,13798.248282807883
BGR,2022,4093.21249176922
BHS,2022,593.1038430670596
BIH,2022,2053.87420544989
BLR,2022,64994.775353023346
BLZ,2022,8171.95170625209
BOL,2022,595996.4068946196
BRA,2022,3308930.3915435243
BRB,2022,5.246323743651258
BRN,2022,919.6638656004718
BTN,2022,1247.5863691535517
BWA,2022,2.080606771569011
CAF,2022,51029.56591383493
CAN,2022,2299843.8454220886
CHE,2022,1974.953453649401
CHL,2022,67883.10424786207
CHN,2022,611895.7548458257
CIV,2022,172455.9827162678
CMR,2022,147809.50010893343
COD,2022,1220169.1219945112
COG,2022,59424.13253742833
COL,2022,265769.2621903444
COM,2022,164.57181848895527
CRI,2022,8563.14253083939
CUB,2022,4889.299789985951
CUW,2022,5.041858310434572
CYM,2022,26.24678481632269
